name,url
Le Monde - Espace,https://www.lemonde.fr/espace/rss_full.xml
Le Monde - Biologie,https://www.lemonde.fr/biologie/rss_full.xml
Le Monde - Médecine,https://www.lemonde.fr/medecine/rss_full.xml
Le Monde - Physique,https://www.lemonde.fr/physique/rss_full.xml
Le Monde - Santé,https://www.lemonde.fr/sante/rss_full.xml
Le Monde - La une Opinions,https://www.lemonde.fr/idees/rss_full.xml
Le Monde - éditoriaux,https://www.lemonde.fr/editoriaux/rss_full.xml
Le Monde - chroniques,https://www.lemonde.fr/chroniques/rss_full.xml
Le Monde - tribunes,https://www.lemonde.fr/tribunes/rss_full.xml
Le Monde - La une M le mag,https://www.lemonde.fr/m-le-mag/rss_full.xml
Le Monde - L’époque,https://www.lemonde.fr/m-perso/rss_full.xml
Le Monde - Styles,https://www.lemonde.fr/m-styles/rss_full.xml
Le Monde - Gastronomie,https://www.lemonde.fr/gastronomie/rss_full.xml
Le Monde - Recettes du Monde,https://www.lemonde.fr/les-recettes-du-monde/rss_full.xml
Le Monde - Sexo,https://www.lemonde.fr/sexo/rss_full.xml
Le Monde - Les derniers guides,https://www.lemonde.fr/guides-d-achat/rss_full.xml
Le Monde - Brésil,https://www.lemonde.fr/bresil/rss_full.xml
RFI - Actualité,https://www.rfi.fr/fr/contenu/general/rss
RFI - Afrique,https://www.rfi.fr/afrique/rss
RFI - Amériques,https://www.rfi.fr/ameriques/rss
RFI - Asie & Pacifique,https://www.rfi.fr/asie-pacifique/rss
RFI - Europe,https://www.rfi.fr/europe/rss
RFI - France,https://www.rfi.fr/france/rss
RFI - Moyen-Orient,https://www.rfi.fr/moyen-orient/rss
RFI - Économie,https://www.rfi.fr/economie/rss
RFI - Sports,https://www.rfi.fr/sports/rss
RFI - Culture,https://www.rfi.fr/culture/rss
RFI - Science,https://www.rfi.fr/science/rss
RFI - Afrique Foot,https://www.rfi.fr/afrique-foot/rss
RFI - Boutique,https://www.rfi.fr/boutique/rss
France TV Info - Les titres,https://www.francetvinfo.fr/titres.rss
France TV Info - Vidéos,https://www.francetvinfo.fr/videos.rss
France TV Info - Diaporamas,https://www.francetvinfo.fr/en-image.rss
France TV Info - France,https://www.francetvinfo.fr/france.rss
France TV Info - Politique,https://www.francetvinfo.fr/politique.rss
France TV Info - Société,https://www.francetvinfo.fr/societe.rss
France TV Info - Faits divers,https://www.francetvinfo.fr/faits-divers.rss
France TV Info - Justice,https://www.francetvinfo.fr/societe/justice.rss
France TV Info - Monde,https://www.francetvinfo.fr/monde.rss
France TV Info - Afrique,https://www.francetvinfo.fr/monde/afrique.rss
France TV Info - Amériques,https://www.francetvinfo.fr/monde/ameriques.rss
France TV Info - Asie-Pacifique,https://www.francetvinfo.fr/monde/asie.rss
France TV Info - Europe,https://www.francetvinfo.fr/monde/europe.rss
France TV Info - Proche Orient,https://www.francetvinfo.fr/monde/proche-orient.rss
France TV Info - Environnement,https://www.francetvinfo.fr/environnement.rss
France TV Info - Eco,https://www.francetvinfo.fr/economie.rss
France TV Info - Tendances,https://www.francetvinfo.fr/economie/tendances.rss
France TV Info - Entreprises,https://www.francetvinfo.fr/economie/entreprises.rss
France TV Info - Marchés,https://www.francetvinfo.fr/economie/bourse/marches.rss
France TV Info - Immobilier,https://www.francetvinfo.fr/economie/immobilier.rss
France TV Info - Sports,https://www.francetvinfo.fr/sports.rss
France TV Info - Foot,https://www.francetvinfo.fr/sports/foot.rss
France TV Info - Rugby,https://www.francetvinfo.fr/sports/rugby.rss
France TV Info - F1,https://www.francetvinfo.fr/sports/auto-moto/formule-1.rss
France TV Info - Découvertes,https://www.francetvinfo.fr/decouverte.rss
France TV Info - Sciences,https://www.francetvinfo.fr/sciences.rss
France TV Info - Santé,https://www.francetvinfo.fr/sante.rss
France TV Info - Animaux,https://www.francetvinfo.fr/animaux.rss
France TV Info - Culture,https://www.francetvinfo.fr/culture.rss
France TV Info - Médias,https://www.francetvinfo.fr/economie/medias.rss
France TV Info - Cinéma,https://www.francetvinfo.fr/culture/cinema.rss
France TV Info - Musique,https://www.francetvinfo.fr/culture/musique.rss
France TV Info - Expos,https://www.francetvinfo.fr/culture/arts-expos.rss
France TV Info - Internet,https://www.francetvinfo.fr/internet.rss
Le Dauphiné - La Une,https://www.ledauphine.com/rss
Le Dauphiné - France-Monde,https://www.ledauphine.com/france-monde/rss
Le Dauphiné - Faits Divers,https://www.ledauphine.com/Faits-divers-Justice/rss
Le Dauphiné - Economie et Finance,https://www.ledauphine.com/economie/rss
Le Dauphiné - Politique,https://www.ledauphine.com/politique/rss
Le Dauphiné - Sport,https://www.ledauphine.com/sport/rss
Le Dauphiné - Ain,https://www.ledauphine.com/ain/rss
Le Dauphiné - Alpes de Haute Provence,https://www.ledauphine.com/haute-provence/rss
Le Dauphiné - Hautes Alpes,https://www.ledauphine.com/hautes-alpes/rss
Le Dauphiné - Ardèche,https://www.ledauphine.com/ardeche/rss
Le Dauphiné - Drôme,https://www.ledauphine.com/drome/rss
Le Dauphiné - Isère Sud,https://www.ledauphine.com/isere-sud/rss
Le Dauphiné - Isère Nord,https://www.ledauphine.com/isere-nord/rss
Le Dauphiné - Savoie,https://www.ledauphine.com/savoie/rss
Le Dauphiné - Haute Savoie,https://www.ledauphine.com/haute-savoie/rss
Le Dauphiné - Vaucluse,https://www.ledauphine.com/vaucluse/rss
Sud Ouest - Agen,https://www.sudouest.fr/lot-et-garonne/agen/rss.xml
Sud Ouest - Angouleme,https://www.sudouest.fr/charente/angouleme/rss.xml
Sud Ouest - Arcachon,https://www.sudouest.fr/gironde/arcachon/rss.xml
Sud Ouest - Auch,https://www.sudouest.fr/gers/auch/rss.xml
Sud Ouest - Bayonne,https://www.sudouest.fr/pyrenees-atlantiques/bayonne/rss.xml
Sud Ouest - Biarritz,https://www.sudouest.fr/pyrenees-atlantiques/biarritz/rss.xml
Sud Ouest - Bordeaux,https://www.sudouest.fr/gironde/bordeaux/rss.xml
Sud Ouest - Cognac,https://www.sudouest.fr/charente/cognac/rss.xml
Sud Ouest - Dax,https://www.sudouest.fr/landes/dax/rss.xml
Sud Ouest - Langon,https://www.sudouest.fr/gironde/langon/rss.xml
Sud Ouest - Rochelle,https://www.sudouest.fr/charente-maritime/la-rochelle/rss.xml
Sud Ouest - Libourne,https://www.sudouest.fr/gironde/libourne/rss.xml
Sud Ouest - Mt-de-Marsan,https://www.sudouest.fr/landes/mont-de-marsan/rss.xml
Sud Ouest - Pau,https://www.sudouest.fr/pyrenees-atlantiques/pau/rss.xml
Sud Ouest - Périgueux,https://www.sudouest.fr/dordogne/perigueux/rss.xml
Sud Ouest - Royan,https://www.sudouest.fr/charente-maritime/royan/rss.xml
Sud Ouest - Saintes,https://www.sudouest.fr/charente-maritime/saintes/rss.xml
Sud Ouest - Actualite,https://www.sudouest.fr/rss.xml
Sud Ouest - Cinéma,https://www.sudouest.fr/culture/cinema/rss.xml
Sud Ouest - Economie,https://www.sudouest.fr/economie/rss.xml
Sud Ouest - Emploi,https://www.sudouest.fr/economie/emploi/rss.xml
Sud Ouest - Environnement,https://www.sudouest.fr/environnement/rss.xml
Sud Ouest - Faits divers,https://www.sudouest.fr/faits-divers/rss.xml
Sud Ouest - Gastronomie,https://www.sudouest.fr/gastronomie/rss.xml
Sud Ouest - Politique,https://www.sudouest.fr/politique/rss.xml
Sud Ouest - Santé,https://www.sudouest.fr/sante/rss.xml
Sud Ouest - Sport,https://www.sudouest.fr/sport/rss.xml
Sud Ouest - Tourisme,https://www.sudouest.fr/tourisme/rss.xml
Sud Ouest - Vins,https://www.sudouest.fr/vins/rss.xml
Sud Ouest - Football,https://www.sudouest.fr/sport/football/rss.xml
